ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
135.13499,25.96,135.13667,25.9475,1351.93476,70,9.6,0.79,2.25,233,9.98,1
135.26367,26.21443,135.25752,26.22054,1387.01224,280,18.9,5.76,2.66,108.6,10.19,3
135.63721,26.40168,135.61144,26.39616,1402.36259,117,7.9,0.5,1.78,57.6,8.75,3
135.66125,25.93639,135.66084,25.93389,1408.89974,356,90.3,14.96,1.86,36.4,9.66,1
135.79102,26.21443,135.79028,26.18631,1365.55839,249,8.5,0.2,1.49,183.4,9.2,3
135.85693,27.02808,135.83941,26.98974,1317.34061,106,13.7,1.17,2.74,366.9,10.54,3
135.85693,26.23522,135.88414,26.2035,1361.62162,139,5,0.2,1.41,197.5,9.26,3
135.89396,26.63382,135.90754,26.67466,1334.27787,147,16.1,1.95,2.48,299.8,10.59,3
136.07666,26.44333,136.09511,26.43545,1358.66141,98,11.1,0.69,1.87,208.3,9.83,3
136.16455,26.98621,136.17266,26.98821,1398.15116,64,6.1,0.42,2.55,71.4,8.7,3
136.16455,27.02808,136.16531,27.02237,1317.40165,109,14.6,1.07,2.25,366.6,10.5,3
136.23047,26.08976,136.2358,26.106,1364.73441,118,6.4,0.34,1.22,186.3,9.43,2
136.23047,26.29761,136.24553,26.296,1361.68265,96,5.8,0.24,1.43,197.3,9.33,3
136.24292,26.11417,136.23584,26.10611,1364.92606,70,6.9,0.34,1.83,185.6,9.44,1
136.27441,26.58924,,,1366.90116,163,10.2,0.66,1.63,178.6,9.88,4
136.55626,25.7775,136.55168,25.78361,1408.11293,138,9.3,1.48,2.59,38.9,8.35,1
136.62598,26.08976,136.6155,26.11213,1395.19095,120,5.1,0.27,1.12,81.2,8.62,3
136.91162,25.903,136.91294,25.94611,1395.22147,118,6.2,0.5,1.64,81.1,8.88,3
136.99951,26.94436,,,1397.8765,68,7.8,0.37,1.64,72.3,8.66,4
137.13135,26.06899,137.1614,26.05478,1331.16508,87,8.8,0.21,0.91,311.9,9.83,3
137.30167,26.5975,137.28458,26.60306,1407.20616,204,17.8,1.76,1.67,41.8,9.17,1
